index;INCDTNO;YEAR4;MONTH;DAY;ACCDMG;INFRASTRUCTURE_DMG;TRKDMG;EQPDMG;LOCOMOTIVES1;LOCOMOTIVES2;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;SPEED;LOADF1;LOADF2;EMPTYF1;EMPTYP1;LOADP1;EMPTYF2;TONS;TYPE;TYPEQ;TRKCLAS;TYPTRK;ACCAUSE;TEMP;TEMP_CLUSTER;VISIBLTY;WEATHER;STATE;Jahreszeit;ACCIDENT_TYPE;ACCCAUSE_LVL1;ACCCAUSE_LVL2;EQUIPMENT_TYPE;ACCDMG_EUR;ACCTYPE;SPD_TOO_HIGH
58;000012453;2005;5;17;34870.0;34870.0;2000.0;32870.0;1;0;0;0;0;0;0;0;4.5;36;3;27;0;0;3;5050.367532784325;04;7;1;Depot;H702;70;Warm (20° bis 31,99° C);Abenddämmerung;Wolkig;Georgia;Frühling;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;27595.758151313705;Nicht Signifikant;False
59;000012673;2005;5;27;25414.0;25414.0;500.0;24914.0;0;0;0;0;0;0;0;0;4.0;3;2;1;0;0;1;482.196747596469;04;5;1;Depot;H995;72;Warm (20° bis 31,99° C);Abend;Klar;Georgia;Frühling;Kollision;Miscellaneous;Human Factors;EinzelneWagen, EinzelneWagen;20248.585770058162;Nicht Signifikant;False
60;000012687;2005;5;30;12591.0;12591.0;250.0;12341.0;3;0;0;0;0;0;0;0;4.949628046035187;35;0;2;0;0;0;4112.182626128694;04;7;1;Depot;H306;75;Warm (20° bis 31,99° C);Abend;Klar;Florida;Frühling;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;10095.413726747915;Nicht Signifikant;False
61;000012692;2005;5;30;379201.0;379201.0;55000.0;324201.0;2;0;0;0;0;0;0;0;5.926644996129869;50;13;51;0;0;3;7604.665704827137;04;7;1;Depot;S102;65;Moderat (0° bis 19,99° C);Tag;Klar;Maryland;Frühling;Kollision;other software/programming deficiencies, etc.);Signal and Communication;Depot/Rangieren, EinzelneWagen, EinzelneWagen;304041.8537524054;Signifikant;False
62;000012977;2005;6;13;15452.0;15452.0;750.0;14702.0;4;0;0;0;0;0;0;0;7.5;100;3;149;0;0;2;17470.0;01;1;1;Depot;T207;76;Warm (20° bis 31,99° C);Abend;Klar;West Virginia;Frühling;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Güterzug, Güterzug;12810.479190847289;Nicht Signifikant;False
63;000013235;2005;5;27;8650.0;8650.0;0.0;8650.0;1;0;0;0;0;0;0;0;9.926406551346263;6;0;0;0;0;0;752.324494358222;04;7;1;Depot;H020;88;Warm (20° bis 31,99° C);Abend;Klar;Florida;Frühling;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;6891.881125009959;Nicht Signifikant;False
64;000013244;2005;6;23;31427.0;31427.0;500.0;30927.0;2;0;0;0;0;0;0;0;4.0;44;1;38;0;0;4;6257.599393963045;04;7;1;Depot;H607;79;Warm (20° bis 31,99° C);Abend;Klar;Georgia;Sommer;Kollision;Speed;Human Factors;Depot/Rangieren, Depot/Rangieren;26045.914138902703;Nicht Signifikant;False
65;000013261;2005;6;7;33536.0;33536.0;3500.0;30036.0;6;1;0;0;0;0;0;0;27.84280917046614;28;0;86;0;0;0;6440.889973591336;07;1;4;Hauptstrecke;M304;65;Moderat (0° bis 19,99° C);Abend;Klar;Ohio;Frühling;Bahnübergang;Loading Procedures;Loading;Güterzug, Lokomotive;27298.3312983313;Nicht Signifikant;False
66;000013280;2005;6;21;24164.0;24164.0;100.0;24064.0;0;0;0;0;0;0;0;0;4.0;7;0;0;0;0;0;866.0819188874805;04;6;1;Depot;H318;81;Warm (20° bis 31,99° C);Abenddämmerung;Klar;Georgia;Sommer;Kollision;General Switching Rules;Human Factors;EinzelneWagen, EinzelneWagen;19983.46013893483;Nicht Signifikant;False
67;000013290;2005;6;24;114045.0;114045.0;3800.0;110245.0;2;0;0;0;0;0;0;0;3.9542723449729715;89;7;12;0;0;0;10696.81093980323;01;7;1;Depot;T220;65;Moderat (0° bis 19,99° C);Morgendämmerung;Klar;Indiana;Sommer;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen;94392.48468796557;Nicht Signifikant;False
